words,no_of_char,syllable_count,Frequency_of_occurrence,"presence_of_ch,sh,th,st,f",part_of_speech,pronounce_g_j,Pronounce_c_k,overall_label
CHAMBER,1,0,1,1,1,0,1,1
CHAMPIONSHIPS,1,1,1,1,1,0,1,1
CHAPEL,0,0,1,1,1,0,1,1
CHARACTER,1,1,1,1,1,0,1,1
CHARM,0,0,0,1,1,0,1,1
CHEERFULNESS,1,1,1,1,1,0,1,1
CHILD,0,0,0,1,1,0,1,1
CHILDREN,1,0,1,1,1,0,1,1
CHLOROPHYLL,1,1,1,1,3,0,1,1
CHRISTIAN,1,0,1,1,3,0,1,1
CITIES,0,0,0,0,1,0,1,0
CLARINET,1,1,1,0,1,0,1,1
CLASHES,1,0,1,1,1,0,1,1
CLICK,0,0,1,0,2,0,1,0
CLINICS,1,0,1,0,1,0,1,1
COASTAL,1,0,1,1,3,0,1,1
COLONIAL,1,1,1,0,1,0,1,1
COLORS,0,0,1,0,1,0,1,0
COMIC,0,0,0,0,3,0,1,0
COMMITTEES,1,0,1,0,1,0,1,1
COMMUNICATION,1,1,1,0,1,0,1,1
COMMUNITY,1,1,1,0,1,0,1,1
COMPANION,1,1,1,0,1,0,1,1
COMPETITORS,1,1,1,0,1,0,1,1
COMPLETE,1,0,1,0,3,0,1,1
COMPLEX,1,0,1,0,1,0,1,1
COMPOUNDS,1,0,0,0,1,0,1,0
COMPRISE,1,0,1,0,2,0,1,1
CONCATENATE,1,1,1,0,1,0,1,1
CONCEPT,1,0,0,0,1,0,1,0
CONCERNING,1,1,1,0,2,1,1,1
CONCERTO,1,1,1,0,1,0,1,1
CONFIDENCE,1,1,1,1,1,0,1,1
CONFLICT,1,0,1,1,1,0,1,1
CONNECTION,1,1,1,0,1,0,1,1
CONSCRIPTION,1,1,1,0,1,0,1,1
CONSIDERED,1,1,1,0,2,0,1,1
CONTACT,1,0,1,0,1,0,1,1
CONTAINS,1,0,1,0,2,0,1,1
CONTROL,1,0,1,0,1,0,1,1
COOL,0,0,0,0,3,0,1,0
COORDINATION,1,1,1,0,1,0,1,1
COST,0,0,0,1,1,0,1,0
COUNCIL,1,0,1,0,1,0,1,1
COUNTRIES,1,0,1,0,1,0,1,1
COUNTRY,1,0,1,0,1,0,1,1
COVALENT,1,1,1,0,3,0,1,1
COVERS,0,0,0,0,1,0,1,0
CRIES,0,0,1,0,1,0,1,0
CRISIS,0,0,0,0,1,0,1,0
CROPPER,1,0,1,0,1,0,1,1
CULTURES,1,0,1,0,1,0,1,1
DAMAGE,0,0,1,0,1,1,0,0
DANIEL,0,0,1,0,1,0,0,0
DAZZLING,1,0,1,0,2,1,0,1
DEBATED,1,0,0,0,2,0,0,0
DEBUT,0,0,1,0,1,0,0,0
DECLARATIONS,1,1,0,0,1,0,1,1
DECORATIVE,1,1,1,0,3,0,1,1
DESERT,0,0,0,0,1,0,0,0
DEVASTATING,1,1,1,1,2,1,0,1
DEVELOPMENT,1,1,1,0,1,0,0,1
DIED,0,0,1,0,2,0,0,0
DIFFERENCE,1,1,1,1,1,0,1,1
DIRECT,0,0,0,0,3,0,1,0
DISCRIMINATION,1,1,1,0,1,0,1,1
DISEASE,1,0,1,0,1,0,0,0
DISRUPTION,1,1,0,0,1,0,0,1
DISTINCTIVE,1,1,1,1,3,0,1,1
DIVERSE,1,0,1,0,3,0,0,1
DIVIDED,1,0,1,0,2,0,0,1
DONCASTER,1,1,1,1,1,0,1,1
DOTTED,0,0,1,0,2,0,0,0
DRAMATIC,1,1,1,0,3,0,1,1
DRESS,0,0,1,0,1,0,0,0
DRY,0,0,1,0,3,0,0,0
DUE,0,0,1,0,3,0,0,0
DUNES,0,0,1,0,1,0,0,0
DWARF,0,0,1,1,1,0,0,0
EARTH,0,0,1,1,1,0,0,0
EASY,0,0,0,0,3,0,0,0
EDIT,0,0,0,0,2,0,0,0
EFFECT,0,0,1,1,1,0,1,1
E-FLAT,0,0,1,1,1,0,0,0
ELIGIBLE,1,1,1,0,1,1,0,1
EMERGED,1,0,1,0,2,1,0,1
EMIRATE,1,1,0,0,1,0,0,1
ENHANCING,1,1,1,0,1,1,1,1
ENIGMATIC,1,1,1,0,3,1,1,1
ENORMOUS,1,1,1,0,3,0,0,1
ERA,0,0,1,0,1,0,0,0
ERODING,1,1,1,0,2,1,0,1
ESTABLISHED,1,1,1,1,2,0,0,1
EUROPEAN,1,1,1,0,3,0,0,1
EVENING,1,1,1,0,1,1,0,1
EVENT,0,0,1,0,1,0,0,0
EXPECTED,1,0,0,0,2,0,1,0
EXPLAIN,1,0,1,0,2,0,0,0
FACED,0,0,1,1,2,0,1,0
FAMILIES,1,1,1,1,1,0,0,1
FARM,0,0,1,1,1,0,0,0
FATHER,0,0,1,1,1,0,0,0
FEATURES,1,0,1,1,2,0,0,1
FEMALE,0,1,1,1,3,0,0,1
FERROCENE,1,1,0,1,3,0,1,1
FESTIVAL,1,1,1,1,1,0,0,1
FICTION,1,0,1,1,1,0,1,1
FIELD,0,0,1,1,1,0,0,0
FIGARO,0,1,1,1,1,1,0,1
FILE,0,0,1,1,1,0,0,0
FILM,0,0,1,1,1,0,0,0
FIND,0,0,1,1,2,0,0,0
FLATWORM,1,0,1,1,1,0,0,1
FLED,0,0,1,1,2,0,0,0
FLOODING,1,0,1,1,2,1,0,1
FLORENCE,1,0,1,1,1,0,1,1
FOLLOWING,1,1,1,1,2,1,0,1
FORCE,0,0,1,1,1,0,1,1
FORM,0,0,1,1,1,0,0,0
FORMAT,0,0,1,1,1,0,0,0
FORMULA,1,1,1,1,1,0,0,1
FOUNDATION,1,1,1,1,1,0,0,1
FOUNDED,1,0,1,1,2,0,0,1
FOURTH,0,0,1,1,3,0,0,0
FRAGRANCE,1,0,1,1,1,1,1,1
FRIEDRICH,1,0,1,1,1,0,1,1
FULL,0,0,0,1,3,0,0,0
FULLEST,1,0,1,1,3,0,0,1
FUN,0,0,1,1,3,0,0,0
FUTURE,0,0,1,1,3,0,0,0
GARDEN,0,0,1,0,1,1,0,0
GENERALLY,1,1,1,0,4,1,0,1
GENERATIONS,1,1,1,0,1,1,0,1
GENUS,0,0,1,0,1,1,0,0
GETTING,1,0,1,0,2,1,0,1
GIANT,0,0,1,0,3,1,0,0
GIRL,0,0,1,0,1,1,0,0
GLOBAL,0,0,1,0,3,0,0,0
GOOD,0,0,0,0,3,1,0,0
GOODYEAR,1,0,1,0,1,1,0,0
GRANDE,0,0,1,0,1,1,0,0
GROWS,0,0,1,0,2,1,0,0
GULF,0,0,1,1,1,1,0,0
GUNFIRE,1,0,1,1,1,1,0,1
GYMNASIUM,1,1,1,0,1,1,0,1
HALF,0,0,1,1,1,0,0,0
HARM,0,0,1,0,1,0,0,0
HASHER,0,0,1,1,1,0,0,0
HAVING,0,0,1,0,2,1,0,0
HEAT,0,0,1,0,1,0,0,0
HERITAGE,1,1,1,0,1,1,0,1
HETEROATOM,1,1,1,0,1,0,0,1
HILI,0,0,1,0,1,0,0,0
HOME,0,0,1,0,1,0,0,0
HOMS,0,0,1,0,1,0,0,0
HOOD,0,0,1,0,1,0,0,0
HOPE,0,0,1,0,1,0,0,0
HOSPITAL,1,1,1,0,1,0,0,1
HOSPITALS,1,1,1,0,1,0,0,1
HOTEL,0,0,1,0,1,0,0,0
HOUSE,0,0,1,0,1,0,0,0
HUMAN,0,0,1,0,3,0,0,0
HUMIDITY,1,1,1,0,1,0,0,1
ICONIC,0,1,1,0,3,0,1,1
IMMEDIATELY,1,1,1,0,4,0,0,1
IMMIGRATION,1,1,1,0,1,1,0,1
IMPORTANT,1,1,1,0,3,0,0,1
INCLUDE,1,0,0,0,2,0,1,0
INDEPENDENCE,1,1,1,0,1,0,1,1
INDIGENOUS,1,1,1,0,3,1,0,1
INDUSTRY,1,1,1,1,1,0,0,1
INFORMATION,1,1,1,1,1,0,0,1
INHERITANCE,1,1,1,0,1,0,0,1
INITIALLY,1,1,1,0,1,0,0,1
INNOCENT,1,1,1,0,4,0,1,1
INTENSE,1,0,1,0,3,0,0,1
INTENTION,1,1,1,0,3,0,0,1
INTERNATIONAL,1,1,1,0,3,0,0,1
INTERNATIONALLY,1,1,1,0,4,0,0,1
INTERNET,1,1,0,0,1,0,0,1
INTERRED,1,0,1,0,2,0,0,1
ITALIAN,1,1,0,0,3,0,0,0
JANUARY,1,1,1,0,1,1,0,1
JOHN,0,0,1,0,1,1,0,0
JUNGLE,0,0,0,0,1,1,0,0
JUPITER,1,1,1,0,1,1,0,1
KEY,0,0,0,0,3,0,1,0
KILLED,0,0,1,0,2,0,1,0
KNOWLEDGE,1,0,1,0,1,1,1,1
KOREA,0,0,1,0,1,0,1,0
KREUTZER,1,0,1,0,1,0,1,1
LACKING,1,0,1,0,2,1,1,1
LAND,0,0,0,0,1,0,0,0
LAUGH,0,0,0,0,1,0,0,0
LANGUAGES,1,0,1,0,2,1,0,1
LARGER,0,0,0,0,3,1,0,0
LARVA,0,0,0,0,1,0,0,0
LATEST,0,0,1,1,3,0,0,0
LATROBE,1,0,1,0,1,0,0,0
LEADING,1,0,1,0,2,1,0,1
LEGISLATON,1,1,1,0,1,1,0,1
LEVEL,0,0,0,0,1,0,0,0
LIFTED,0,0,1,1,2,0,0,0
LIGANDS,1,0,1,0,1,1,0,0
LIMIT,0,0,1,0,2,0,0,0
LIST,0,0,1,1,1,0,0,0
LITERALLY,1,1,1,0,4,0,0,1
LITERATURE,1,1,1,0,1,0,0,1
LIVESTOCK,1,1,1,1,1,0,1,1
LOCAL,0,0,1,0,1,0,1,0
LOCATION,1,1,1,0,1,0,1,1
LOVE,0,0,1,0,2,0,0,0
LUNG,0,0,1,0,1,1,0,0
MADE,0,0,1,0,2,0,0,0
MAGAZINE,1,1,1,0,1,1,0,1
MAJOR,0,0,0,0,3,1,0,0
MAKE,0,0,1,0,2,0,1,0
MAKESHIFT,1,1,1,1,1,0,1,1
MALARIA,1,1,1,0,1,0,0,1
MANUFACTURE,1,1,1,1,1,0,1,1
MARCH,0,0,1,1,1,0,1,1
MARRIAGE,1,0,1,0,1,1,0,0
MASSES,0,0,1,0,1,0,0,0
MEANING,1,0,1,0,2,1,0,0
MEANS,0,0,0,0,1,0,0,0
MEN,0,0,1,0,1,0,0,0
METAL,0,0,1,0,1,0,0,0
METHYLCOBALAMIN,1,1,1,1,1,0,1,1
METROPOLITAN,1,1,1,0,1,0,0,1
MIDDLE,0,0,1,0,3,0,0,0
MILITARY,1,1,1,0,3,0,0,1
MISSIONARY,1,1,0,0,3,0,0,1
MONDAY,0,0,1,0,1,0,0,0
MONUMENT,1,1,1,0,1,0,0,1
MORNING,1,0,1,0,1,1,0,0
MOTHER,0,0,1,1,1,0,0,0
MOVED,0,0,1,0,2,0,0,0
MOVEMENT,1,1,1,0,1,0,0,1
MOVIE,0,0,0,0,1,0,0,0
MOZART,0,0,1,0,1,0,0,0
MUNICIPAL,1,0,1,0,1,0,1,1
MUSIC,0,1,0,0,1,0,1,0
NAMED,0,0,1,0,2,0,0,0
NATION,0,0,1,0,1,0,0,0
NATURE,0,0,0,0,1,0,0,0
NAVY,0,0,1,0,1,0,0,0
NEED,0,0,1,0,2,0,0,0
NEIGHBOR,1,0,1,0,1,1,0,0
NERVE,0,0,1,0,1,0,0,0
NETWORK,1,0,1,0,1,0,1,1
NEUTRAL,1,0,1,0,3,0,0,1
NEW,0,0,1,0,3,0,0,0
NEWSPAPER,1,1,1,0,1,0,0,0
NICKNAME,1,0,1,0,1,0,1,1
NITROGEN,1,1,1,0,1,1,0,1
NORFOLK,1,0,1,1,1,0,1,1
NORMALLY,1,1,1,0,1,0,0,1
NOVEL,0,0,1,0,3,0,0,0
NUESTRA,1,0,1,1,1,0,0,1
NUMBER,0,0,1,0,1,0,0,0
OASIS,0,0,1,0,1,0,0,0
OBJECT,0,0,1,0,1,1,1,0
OBSERVATORY,1,1,1,0,1,0,0,1
OBSERVERS,1,1,1,0,1,0,0,1
OCCASIONALLY,1,1,1,0,4,0,1,1
OCTAVIAN,1,1,1,0,3,0,1,1
OFFICES,1,0,1,1,1,0,1,1
OPENED,0,0,1,0,2,0,0,0
OPERA,0,1,0,0,1,0,0,0
OPPORTUNITY,1,1,1,0,1,0,0,1
OPPOSED,1,0,1,0,2,0,0,1
OPPOSITE,1,1,1,0,3,0,0,1
ORBITALS,1,1,1,0,1,0,0,1
ORGANIC,1,1,1,0,3,1,1,1
ORGANOMETALLIC,1,1,1,0,3,1,1,1
ORIGINAL,1,1,1,0,3,1,0,1
ORPHANAGE,1,1,1,0,1,1,0,1
OTHER,0,0,1,1,3,0,0,0
OUTER,0,0,1,0,3,0,0,1
OVERLOADING,1,1,1,0,1,0,1,1
OXYGEN,0,1,1,0,1,1,0,1
PAIN,0,0,1,0,1,0,0,0
PAINTING,1,0,1,0,1,1,0,0
PALACE,0,0,1,0,1,0,1,0
PAN,0,0,1,0,1,0,0,0
PANTOMIME,1,1,1,0,1,0,0,1
PARASITES,1,1,1,0,1,0,0,1
PARK,0,0,1,0,1,0,1,0
PARTING,1,0,1,0,1,1,0,0
PASSED,0,0,1,0,2,0,0,0
PATH,0,0,1,1,1,0,0,0
PAUL,0,0,1,0,1,0,0,0
PEACE,0,0,1,0,1,0,1,0
PEARL,0,0,1,0,1,0,0,0
PEOPLE,0,0,1,0,1,0,0,0
PERSON,0,0,1,0,1,0,0,0
PERSONALITY,1,1,1,0,1,0,0,0
PHILIPPINES,1,1,1,0,1,0,0,1
PIECE,0,0,1,0,1,0,1,0
PLAN,0,0,1,0,1,0,0,0
PLANET,0,0,1,0,1,0,0,0
PLANNED,1,0,1,0,2,0,0,0
PLATFORM,1,0,1,1,1,0,0,1
PLAYED,0,0,1,0,2,0,0,0
PLAZA,0,0,1,0,1,0,0,0
PLOT,0,0,0,0,1,0,0,0
POLICY,0,1,0,0,1,0,1,0
POLITICALLY,1,1,1,0,4,0,1,1
POLYMORPHISM,1,1,1,0,2,0,0,1
POPULAR,1,1,1,0,3,0,0,1
POPULATION,1,1,1,0,1,0,0,1
POSITIONS,1,1,1,0,1,0,0,1
POVERTY,1,1,1,0,1,0,0,1
POWERFUL,1,1,1,1,3,0,0,1
PRECEDED,1,0,1,0,2,0,1,1
PRESENTED,1,0,1,0,2,0,0,0
PREVENT,1,0,1,0,2,0,0,0
PRINCIPAL,1,1,1,0,3,0,1,1
PRIZE,0,0,1,0,1,0,0,0
PRODUCTION,1,1,1,0,1,0,1,1
PROHIBITED,1,1,1,0,2,0,0,1
PROTESTS,1,0,1,1,1,0,0,1
PROVINCE,1,0,1,0,1,0,1,1
PUBLIC,0,0,0,0,3,0,1,0
PUBLISH,1,0,1,1,2,0,0,1
PUBLISHING,1,1,1,1,2,1,0,1
PULITZER,1,1,1,0,1,0,0,1
PUPATES,1,0,0,0,2,0,0,0
PURPLE,0,0,1,0,3,0,0,0
QUINTET,1,0,1,0,1,0,0,0
RACING,0,0,1,0,1,1,1,0
RADIO,0,0,1,0,1,0,0,0
RARELY,0,1,1,0,4,0,0,1
RASTAN,0,0,0,1,1,0,0,0
RAYS,0,0,0,0,1,0,0,0
REACTIONS,1,0,1,0,1,0,1,1
READERS,1,0,0,0,1,0,0,0
REASON,0,0,1,0,1,0,0,0
REBEL,0,0,1,0,1,0,0,0
RECENTLY,1,1,1,0,4,0,1,1
RECOGNITION,1,1,1,0,1,1,1,1
RECOGNIZABLE,1,1,1,0,3,1,1,1
RECOGNIZES,1,1,1,0,2,1,1,1
RED,0,0,0,0,3,0,0,0
REFERENCE,1,1,1,1,1,0,1,1
REFERS,0,0,1,1,2,0,0,0
REGION,0,0,1,0,1,1,0,0
REGISTERING,1,1,1,1,2,1,0,1
RELATIVELY,1,1,1,0,4,0,0,1
REMAINDER,1,1,1,0,1,0,0,1
REPRESENTED,1,1,1,0,2,0,0,1
REQUESTING,1,1,1,1,2,1,0,1
RESPECTIVELY,1,1,1,0,4,0,1,1
RESPONSIBILITY,1,1,1,0,1,0,0,1
RESTIVE,1,0,1,1,3,0,0,1
RETREAT,1,0,1,0,1,0,0,0
RETURNED,1,0,1,0,2,0,0,1
REVERSED,1,0,1,0,3,0,0,1
RIGHTS,0,0,1,0,1,1,0,0
ROBIN,0,0,1,0,1,0,0,0
ROLE,0,0,0,0,1,0,0,0
ROMANTIC,1,1,1,0,3,0,1,1
ROOMS,0,0,1,0,1,0,0,0
ROUNDABOUTS,1,1,1,0,1,0,0,1
ROYAL,0,0,1,0,1,0,0,0
RULE,0,0,1,0,1,0,0,0
RUSSIA,0,0,0,0,1,0,0,0
SAND,0,0,0,0,2,0,0,0
SCHISTOSOMIASIS,1,1,1,1,1,0,1,1
SCHUBART,1,0,1,1,1,0,1,1
SCREAMING,1,0,1,0,2,1,1,1
SEASON,0,0,1,0,1,0,0,0
SECTION,1,0,1,0,1,0,1,1
SERIES,0,0,1,0,1,0,0,0
SEX,0,0,1,0,1,0,0,0
SHAKESPEARE,1,1,1,1,1,0,1,1
SHEFFIELD,1,0,1,1,1,0,0,1
SHEIKH,0,0,1,1,1,0,1,1
SHELLED,1,0,1,1,2,0,0,1
SHELLING,1,0,1,1,1,1,0,1
SHERIFF,1,0,1,1,1,0,0,1
SHOW,0,0,1,1,2,0,0,0
SHOWED,0,0,1,1,2,0,0,0
SHRAPNEL,1,0,1,1,1,0,0,1
SINGLE,0,0,1,0,3,1,0,0
SIR,0,0,1,0,1,0,0,0
SIXTH,0,0,0,1,3,0,0,0
SKILL,0,0,0,0,3,0,1,0
SKY,0,0,0,0,1,0,1,0
SOLELY,0,1,1,0,4,0,0,1
SOLUTIONS,1,1,1,0,1,0,0,1
SONATA,0,1,1,0,1,0,0,0
SOUNDING,1,0,1,0,2,1,0,1
SOURCE,0,0,1,0,1,0,1,0
SOUTH,0,0,1,1,3,0,0,0
SPACE,0,0,1,0,1,0,1,0
SPAMMING,1,0,1,0,2,1,0,1
SPARKING,1,0,1,0,2,1,1,1
SPECIES,1,0,1,0,1,0,1,1
SPECTRUM,1,0,1,0,1,0,1,1
SPENDING,1,0,1,0,1,1,0,0
SPIRITUAL,1,1,1,0,3,0,0,1
SPOKESMAN,1,1,1,0,1,0,1,1
SPRING,0,0,1,0,1,1,0,0
SPRUE,0,0,1,0,1,0,0,0
SQUARE,0,0,1,0,1,0,0,0
STABLE,0,0,1,1,3,0,0,0
STAGE,0,0,1,1,1,1,0,0
STANDS,0,0,1,1,2,0,0,0
STAR,0,0,0,1,1,0,0,0
STARRY,0,0,1,1,4,0,0,0
STARTED,1,0,1,1,2,0,0,1
STAYED,0,0,1,1,2,0,0,0
STEWART,1,0,1,1,1,0,0,1
STOCKMEN,1,0,1,1,1,0,1,1
STORY,0,0,1,1,1,0,0,0
STRAIT,0,0,1,1,1,0,0,0
STREET,0,0,0,1,1,0,0,0
STRETCH,1,0,1,1,1,0,1,1
STRIKE,0,0,1,1,1,0,1,1
SUBSCRIBE,1,0,1,0,2,0,1,1
SUFFERED,1,0,1,1,2,0,0,1
SUGGESTED,1,0,1,1,2,1,0,1
SUITABLE,1,1,1,0,3,0,0,1
SUMMER,0,0,1,0,1,0,0,0
SUN,0,0,0,0,1,0,0,0
SUNDANCE,1,0,0,0,1,0,1,0
SUNDAY,0,0,1,0,1,0,0,0
SUNG,0,0,1,0,2,1,0,0
SUPER,0,0,1,0,3,0,0,0
SUPPORT,1,0,1,0,1,0,0,0
SUPPORTING,1,1,1,0,2,1,0,1
SURPASSED,1,0,1,0,2,0,0,1
SYMPHONY,1,1,1,0,1,0,0,1
SYRIAN,0,1,1,0,3,0,0,1
TASMANIA,1,1,1,0,1,0,0,1
TEACHING,1,0,1,1,1,1,1,1
TEAM,0,0,1,0,1,0,0,0
TELEVISION,1,1,1,0,1,0,0,1
TERM,0,0,1,0,1,0,0,0
TERMINOLOGY,1,1,1,0,1,1,0,1
THAILAND,1,0,1,1,1,0,0,1
THEATER,1,0,1,1,1,0,0,1
THEORIES,1,0,1,1,1,0,0,1
THEORY,0,0,1,1,1,0,0,0
TIGHTLY,1,0,1,1,4,1,0,0
THOMAS,0,0,1,1,1,0,0,0
TIME,0,0,1,0,1,0,0,0
TOM,0,0,1,0,1,0,0,0
TOOL,0,0,0,0,1,0,0,0
TOPICS,0,0,1,0,1,0,1,0
TORRENT,1,0,1,0,3,0,0,0
TOWN,0,0,1,0,1,0,0,0
TOWNS,0,0,1,0,1,0,0,0
TRADITION,1,1,0,0,1,0,0,1
TREATMENT,1,0,1,0,1,0,0,0
TREMATODES,1,1,1,0,1,0,0,1
TROOPS,0,0,1,0,1,0,0,0
TROPHIES,1,0,1,0,1,0,0,0
TROPICAL,1,1,1,0,3,0,1,1
TYPICAL,1,1,1,0,3,0,1,1
TRUST,0,0,0,1,1,0,0,0
TURNS,0,0,1,0,2,0,0,0
TUSCANY,1,1,1,0,1,0,1,1
UNBLOCKED,1,0,0,0,3,0,1,1
UNDERGO,1,1,1,0,2,1,0,1
UNDERGOING,1,1,1,0,3,1,0,1
UNDERGROUND,1,1,1,0,3,1,0,1
UNIQUE,0,1,1,0,3,0,0,1
UNITED,0,0,1,0,1,0,0,0
UNIVERSITY,1,1,1,0,1,0,0,1
UNPARALLELED,1,1,1,0,3,0,0,1
UPDATE,0,0,1,0,2,0,0,0
USER,0,0,1,0,1,0,0,0
USUAL,0,0,1,0,3,0,0,0
VARIETY,1,1,1,0,1,0,0,1
VARIOUS,1,1,1,0,3,0,0,1
VIRTUOUS,1,0,1,0,3,0,0,0
VERMONT,1,0,1,0,1,0,0,0
VICTIMS,1,0,1,0,1,0,1,1
VIDEO,0,0,1,0,1,0,0,0
VIETNAM,1,0,1,0,1,0,0,0
VILLAGE,1,0,1,0,1,1,0,0
VIOLA,0,0,1,0,1,0,0,0
VIOLENCE,1,1,1,0,1,0,1,1
VIOLIN,0,0,1,0,1,0,0,0
VIRTUAL,1,0,1,0,3,0,0,1
VITAMIN,1,1,1,0,1,0,0,1
WAIT,0,0,0,0,1,0,0,0
WAR,0,0,1,0,1,0,0,0
WAVE,0,0,1,0,1,0,0,0
WESTERN,1,0,0,1,3,0,0,1
EXPAND,0,0,1,0,2,0,0,0
WIKIPEDIA,1,1,0,0,1,0,1,1
WILLIAM,1,0,1,0,1,0,0,0
WINNING,1,0,1,0,2,1,0,0
WIPLINGER,1,1,1,0,1,1,0,1
WIRING,0,0,1,0,1,1,0,0
WOMAN,0,0,1,0,1,0,0,0
WON,0,0,1,0,2,0,0,0
WONDERFUL,1,1,0,1,3,0,0,0
WORD,0,0,1,0,1,0,0,0
WORK,0,0,1,0,1,0,1,0
WORLD,0,0,1,0,1,0,0,0
WOUNDS,0,0,1,0,1,0,0,0
WRITER,0,0,1,0,1,0,0,0
GORGEOUS,1,0,1,0,3,1,0,1
YEAR,0,0,1,0,1,0,0,0
YELLOW,0,0,1,0,3,0,0,0
YORK,0,0,0,0,1,0,1,0
YOUNG,0,0,1,0,3,1,0,0
YOUTH,0,0,1,1,1,0,0,0
YOUNGER,1,0,1,0,4,0,1,1
ZOO,0,0,1,0,1,0,0,0
